X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-117.161379,34.607477,train,2.203002679026591E-4,32.25200082672817,0.38889014598243343
-119.087131,35.444684,train,0.00209651388358922,79.34246901620752,0.9907832336833049
-118.978373,35.368553,train,0.0020067567319719025,77.69879546465964,0.9887352851481394
-120.810857,35.774407,train,0.0025090863283059816,85.99671244366075,0.9963353837612012
-120.740646,35.766005,train,0.005213119776237224,99.99999959438865,0.9999913145835456
-118.94163,38.66378,train,3.203263443714589E-5,5.358665451966262,0.06910478653901608
-119.243336018975,35.2961755014631,train,0.0027375144746329097,89.41763789092555,0.9978008403599411
-120.565296986687,36.5894512136689,train,7.112329339232027E-4,57.08757665032076,0.7960646985454629
-120.813528346493,36.7306779250015,train,4.5995215978557184E-4,47.997056935891436,0.6423560719653539
-119.4587,35.2451999991104,train,0.0026534072252698063,88.06467637039223,0.9973459254421188
-119.45,35.1699999991113,train,0.0031995527279037616,95.38825171285085,0.9992171432365371
-119.51,35.2299999991106,train,0.0022875612874328384,82.62181750930075,0.9939869017759593
-119.556662,35.760852,train,9.215073053235632E-4,63.015131038684096,0.8725483572517261
-120.746858,35.825659,train,0.0048945420134178545,99.4225185714162,0.9999822954437078
-118.084066779692,36.8823250821721,train,9.411967543469657E-5,15.85064115084973,0.18974265996543904
-118.992227,35.455711,train,0.0016915484981808063,74.57495266940809,0.9772100558042605
-119.440652779254,35.5005887539338,train,0.0026934765775411037,88.59949645907007,0.997573326271886
-119.4765,35.2740999991101,train,0.0023009135348388975,82.85192685769458,0.9941637332214668
-119.548,35.3462999991093,train,0.0027852152735680785,90.41309328226193,0.998023276342608
-120.79,35.7699999991048,train,0.003887744589305506,98.51642184494268,0.9998319090342586
-120.79,35.7199999991053,train,0.001437984536142801,72.10697214499723,0.9598284707809742
-119.423,35.3173999991096,train,0.003074040283801893,93.18766803176194,0.998963576344684
-119.4765,35.3173999991096,train,0.0027559936341485084,89.69369526803861,0.99788983662891
-119.45,35.1399999991116,train,0.0028499997620005774,91.37398488944432,0.9982897905853106
-119.31,35.2399999991105,train,0.003127817825344054,94.12356714465623,0.99908097599798
-119.56,35.2499999991104,train,0.00206735591415091,78.9253861387122,0.9901624516007168
-119.47,35.1399999991116,train,0.001988472636569194,77.41378120419618,0.9882653132952768
-119.525086095782,35.35379993143,train,0.003129700325335198,94.43671485800382,0.9990848354053563
-119.863702014082,35.1897797304704,train,4.633231935531371E-4,48.231921569717535,0.6450411126645416
-119.5301,35.3317999991095,train,0.0023564740840409794,83.78654318673536,0.9948454159936746
-119.61694,35.748198,train,0.002346847529892006,83.5508310202807,0.9947332869377637
-119.91852589134,35.2472118125346,train,2.7895156738588913E-4,36.94338801075606,0.4639848222066604
-119.3873,35.3028999991098,train,0.0034251438838446956,96.71701449082448,0.9995272137002206
-119.548,35.2740999991101,train,0.00186126433827626,76.52268645639255,0.9844054464900378
-120.75,35.6899999991057,train,0.0016673045892221046,74.07084961881489,0.9759408265747632
-119.4408,35.28849999911,train,0.0024740157881957265,85.24720117560695,0.9960365162172619
-119.423,35.2451999991104,train,0.0031090289589083943,93.6087457242219,0.9990415527571332
-119.42,35.1099999991119,train,0.00206897796258855,79.13216370063053,0.9901980586376682
-120.7,35.7099999991055,train,0.004728145580246617,98.98923133444731,0.9999743177727493
-119.6194,35.3895999991089,train,0.0023796653009382626,84.02441962688725,0.9951058396129914
-119.6909,35.3173999991096,train,0.001105429167756927,67.29124890208675,0.9155143281236031
-119.3158,35.2740999991101,train,0.0032368723875132086,96.03432470313248,0.9992798049300994
-120.8,35.749999999105,train,9.009362546592499E-4,62.59856171472633,0.8665504703762831
-120.73,35.849999999104,train,9.749124950293384E-4,64.42733526993858,0.8868911788115885
-119.3694,35.3028999991098,train,0.003647748745418529,98.1276411023111,0.9997125603124211
-119.47,35.1699999991113,train,0.0029496375449145316,91.66894348122372,0.9986312789163634
-119.6373,35.28849999911,train,9.49902872403725E-4,63.5785044891093,0.8803872933495049
-119.47,35.099999999112,train,0.0010877460212732584,66.63813634253222,0.9121076813859398
-119.41,35.0199999991129,train,0.0015604141859027385,73.10200130262253,0.9694468271287039
-119.56,35.1699999991113,train,0.0015117754274438645,72.79403470449117,0.965937404180684
-119.54,35.1999999991109,train,0.0021444385616559746,80.82815913685926,0.9917196170097267
-120.77,35.6899999991057,train,7.514453346135345E-4,58.46410714182673,0.8135974716743855
-119.4051,35.28849999911,train,0.003158171066790066,95.0682689645526,0.999141267090927
-119.34,35.0699999991124,train,0.0011163051545133786,67.58816901368773,0.9175436698543644
-113.601597,34.231966,train,2.2142766696757718E-4,32.36260489189214,0.3904283788468724
-119.4,35.1399999991116,train,0.003045520240674906,92.57453185377577,0.9988953459600319
-118.242710249795,37.205307569008,train,1.7602960871545198E-4,26.936886541035186,0.3253167972130553
-112.985012457715,33.5768142312187,train,1.9465417879541112E-4,29.519610871722332,0.3528304900564633
-119.357674362164,39.8752445477631,train,4.04666523101361E-5,7.141282521973872,0.08649159656425975
-119.6194,35.28849999911,train,0.0017129277862215153,74.84487740615968,0.9782736402388624
-119.2622,35.2740999991101,train,0.003029956563727457,92.269951205762,0.9988562359650371
