Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.52241E-10,0.000000075,0.000001682,1,0,0
8.03158E-10,0.000000156,0.000001795,0.999901536,0,0
9.11295E-10,0.000000328,0.000002037,0.999704608,0,0
1.42158E-9,0.000001127,0.000003178,0.99901536,0,0
1.99886E-9,0.000002564,0.000004468,0.998227649,0,0
4.73061E-9,0.000010305,0.000010575,0.996061442,0,0
8.06246E-9,0.000025389,0.000018023,0.99379677,0,0
1.25168E-8,0.000050205,0.000027981,0.991433635,0,0
2.56712E-8,0.000101283,0.000057386,0.98857818,0,0
4.27106E-8,0.000250365,0.000095474,0.984442694,0,0
6.17906E-8,0.000503673,0.000138123,0.97961796,0,0
9.72994E-8,0.001004728,0.000217488,0.973513194,0,0
1.72403E-7,0.00250898,0.00038533,0.962386766,0,0
2.60077E-7,0.005008955,0.000581231,0.950768019,0,0
3.95013E-7,0.010037695,0.000882658,0.935309177,0,0
6.97097E-7,0.025017551,0.001557138,0.907640803,0,0
1.05018E-6,0.050026761,0.002344918,0.879578574,0,0
1.55774E-6,0.100087357,0.00347626,0.841669949,0,0
2.40911E-6,0.200240543,0.005371064,0.791650256,0,0
3.19592E-6,0.300083052,0.007118975,0.756301694,0,0
3.92175E-6,0.400104982,0.008728715,0.72863332,0,0
4.64802E-6,0.500025686,0.010336792,0.705691217,0,0
5.36836E-6,0.600132228,0.011929175,0.685998425,0,0
5.98672E-6,0.700426211,0.013294081,0.668570303,0,0
6.44714E-6,0.75009883,0.014309133,0.660693186,0,0
6.76518E-6,0.800250419,0.015009683,0.653209925,0,0
7.38199E-6,0.900386208,0.016366941,0.639326506,0,0
8.0584E-6,1.000798132,0.017853164,0.626526191,0.005555556,0
8.63204E-6,1.100085808,0.019111835,0.61480898,0.005555556,0
9.23969E-6,1.200289839,0.020443363,0.603781016,0.005555556,0
9.84627E-6,1.300675896,0.021770727,0.5934423,0.005555556,0
1.04435E-5,1.400022994,0.023075923,0.583792832,0.005555556,0
1.11614E-5,1.500596834,0.024642547,0.574635683,0.005555556,0
1.28769E-5,1.750753604,0.028375692,0.554155179,0.011111111,0
1.44002E-5,2.000684472,0.031678821,0.536136274,0.011111111,0
1.56915E-5,2.251387617,0.034469956,0.519791256,0.016666667,0
1.7134E-5,2.500885323,0.037578504,0.504824734,0.016666667,0
1.83778E-5,2.751411408,0.040250813,0.490941315,0.016666667,0
1.989E-5,3.001855214,0.043489929,0.478042536,0.016666667,0
2.11386E-5,3.251957061,0.046155959,0.466029933,0.016666667,0
2.25524E-5,3.500963667,0.049165784,0.454805041,0.016666667,0.022727273
2.38665E-5,3.752105297,0.051954968,0.444170933,0.016666667,0.045454545
2.53064E-5,4.002318164,0.05500171,0.434127609,0.022222222,0.045454545
2.65782E-5,4.251453041,0.057684566,0.424675069,0.022222222,0.045454545
2.78885E-5,4.500984329,0.060440736,0.415616384,0.022222222,0.045454545
2.90355E-5,4.751865972,0.062846756,0.406951556,0.027777778,0.045454545
3.03458E-5,5.000815357,0.065587939,0.398680583,0.027777778,0.045454545
3.15879E-5,5.251932377,0.068178888,0.390705002,0.027777778,0.045454545
3.26313E-5,5.502340893,0.070349713,0.383024813,0.05,0.045454545
3.37714E-5,5.75156351,0.072716231,0.375640016,0.05,0.045454545
3.49744E-5,6.002539669,0.075206563,0.368452147,0.05,0.045454545
3.60727E-5,6.251791956,0.077474389,0.361559669,0.05,0.045454545
3.71598E-5,6.501227905,0.079713474,0.35486412,0.05,0.045454545
3.84651E-5,6.750813328,0.082395076,0.348365498,0.055555556,0.045454545
3.97329E-5,7.000848227,0.084991872,0.342063805,0.055555556,0.045454545
4.10401E-5,7.251035801,0.087661846,0.335959039,0.061111111,0.045454545
4.23838E-5,7.50134875,0.090398378,0.330051201,0.061111111,0.045454545
4.35766E-5,7.750478679,0.092820549,0.324340291,0.061111111,0.045454545
4.4918E-5,8.003251268,0.095536768,0.318727846,0.061111111,0.068181818
4.61168E-5,8.253077614,0.09795736,0.313312328,0.061111111,0.068181818
4.74145E-5,8.501429091,0.100570394,0.308093738,0.061111111,0.068181818
4.86076E-5,8.751067256,0.102966221,0.302973612,0.061111111,0.068181818
4.99183E-5,9.002549684,0.105590575,0.29795195,0.061111111,0.068181818
5.15178E-5,9.251368464,0.108783047,0.293127215,0.066666667,0.068181818
5.26777E-5,9.501633899,0.111091046,0.288400945,0.066666667,0.068181818
5.3946E-5,9.752355991,0.113607762,0.283773139,0.066666667,0.068181818
5.52625E-5,10.004045094,0.116212523,0.279243797,0.066666667,0.068181818
5.66497E-5,10.250522144,0.118948912,0.274911382,0.066666667,0.068181818
5.79279E-5,10.502280215,0.121462961,0.270578968,0.072222222,0.068181818
5.91673E-5,10.753583911,0.123893552,0.266345018,0.072222222,0.068181818
6.09258E-5,11.000068213,0.127330898,0.262307995,0.072222222,0.068181818
6.19555E-5,11.251772458,0.129337419,0.258270973,0.072222222,0.068181818
6.39218E-5,11.503723003,0.133156178,0.254332414,0.072222222,0.068181818
6.53524E-5,11.755758288,0.135924008,0.25049232,0.072222222,0.068181818
6.70078E-5,12.000456033,0.139115631,0.246849153,0.072222222,0.068181818
6.8185E-5,12.250841888,0.141378134,0.243205987,0.072222222,0.068181818
7.01168E-5,12.506642342,0.145078108,0.23956282,0.083333333,0.068181818
7.19612E-5,12.755252715,0.14859593,0.236116581,0.088888889,0.090909091
7.40996E-5,13.003408997,0.152656164,0.232768807,0.088888889,0.113636364
7.55747E-5,13.250447024,0.155445732,0.229519496,0.088888889,0.136363636
7.72707E-5,13.502689427,0.158641688,0.226270185,0.088888889,0.136363636
7.90038E-5,13.75281315,0.161895163,0.223119338,0.094444444,0.136363636
8.1231E-5,14.001243714,0.16605763,0.220066955,0.094444444,0.136363636
8.3041E-5,14.256008008,0.16942504,0.217014573,0.094444444,0.136363636
8.51786E-5,14.500531565,0.173384482,0.214060654,0.094444444,0.136363636
8.73701E-5,14.750132337,0.177424225,0.211303663,0.094444444,0.159090909
8.86634E-5,15.005643137,0.179799128,0.208448208,0.094444444,0.159090909
9.03942E-5,15.256879501,0.182966437,0.205691217,0.094444444,0.159090909
9.20616E-5,15.503224352,0.186006189,0.20303269,0.094444444,0.159090909
9.33688E-5,15.753768877,0.188381464,0.200374163,0.094444444,0.159090909
9.5343E-5,16.008465241,0.191955543,0.197715636,0.1,0.159090909
9.72993E-5,16.259425025,0.195481622,0.195155573,0.1,0.181818182
9.95561E-5,16.505657294,0.199530151,0.192693974,0.1,0.181818182
1.01687E-4,16.757069241,0.203333699,0.190232375,0.105555556,0.181818182
1.04125E-4,17.003887993,0.20766379,0.18786924,0.111111111,0.181818182
1.05905E-4,17.256113626,0.210811589,0.185506105,0.111111111,0.181818182
1.08257E-4,17.502905839,0.214950115,0.183241434,0.116666667,0.204545455
1.10094E-4,17.753875476,0.218166352,0.180976763,0.116666667,0.204545455
1.12663E-4,18.009501456,0.222643391,0.178712091,0.122222222,0.204545455
1.14665E-4,18.259373137,0.226115757,0.176545884,0.127777778,0.204545455
1.16321E-4,18.501821429,0.228974611,0.174478141,0.127777778,0.204545455
1.19153E-4,18.761453242,0.233840462,0.172311934,0.133333333,0.227272727
1.21544E-4,19.002152758,0.237924349,0.170342655,0.133333333,0.227272727
1.24425E-4,19.260512898,0.242817791,0.168274911,0.133333333,0.227272727
1.26557E-4,19.511388712,0.246417102,0.166305632,0.133333333,0.227272727
1.27875E-4,19.753084835,0.248634919,0.164434817,0.133333333,0.227272727
1.29193E-4,20.010129251,0.250845633,0.162465538,0.133333333,0.227272727
1.30971E-4,20.257126261,0.25381621,0.160594722,0.133333333,0.227272727
1.3288E-4,20.50799494,0.25699468,0.158723907,0.138888889,0.227272727
1.34848E-4,20.762851127,0.260255499,0.156853092,0.138888889,0.227272727
1.36145E-4,21.007011353,0.262397244,0.15508074,0.144444444,0.227272727
1.38334E-4,21.254384095,0.265998128,0.153308389,0.144444444,0.227272727
1.4099E-4,21.506164352,0.270342805,0.151536038,0.144444444,0.227272727
1.42257E-4,21.761113874,0.272407296,0.149763686,0.15,0.227272727
1.44362E-4,22.004898199,0.275822345,0.148089799,0.161111111,0.227272727
1.4611E-4,22.251892732,0.278647925,0.146415912,0.166666667,0.227272727
1.47601E-4,22.501465167,0.281047613,0.144742024,0.166666667,0.227272727
1.48881E-4,22.753314475,0.283101949,0.143068137,0.166666667,0.272727273
1.5036E-4,23.007626637,0.285469066,0.14139425,0.166666667,0.272727273
1.51562E-4,23.264327641,0.287386058,0.139720362,0.166666667,0.272727273
1.52958E-4,23.508211898,0.28960607,0.138144939,0.172222222,0.272727273
1.54376E-4,23.754283747,0.291854784,0.136569516,0.172222222,0.272727273
1.56185E-4,24.002857425,0.294713107,0.134994092,0.172222222,0.272727273
1.57787E-4,24.254413629,0.29723409,0.133418669,0.172222222,0.272727273
1.59228E-4,24.507795444,0.299493449,0.131843245,0.177777778,0.272727273
1.6079E-4,24.76409338,0.301935695,0.130267822,0.177777778,0.272727273
1.62337E-4,25.0065489,0.304345058,0.128790863,0.188888889,0.272727273
1.64284E-4,25.251361235,0.307366617,0.127313903,0.188888889,0.272727273
1.65977E-4,25.515587788,0.309983942,0.12573848,0.188888889,0.272727273
1.67202E-4,25.765475532,0.31187,0.12426152,0.188888889,0.272727273
1.68788E-4,26.000657689,0.314305035,0.122883025,0.188888889,0.272727273
1.70958E-4,26.255761529,0.317624279,0.121406065,0.194444444,0.272727273
1.73044E-4,26.514073483,0.320798443,0.119929106,0.194444444,0.272727273
1.74342E-4,26.757561384,0.322766474,0.11855061,0.194444444,0.272727273
1.76657E-4,27.003553085,0.326262846,0.117172115,0.2,0.272727273
1.78201E-4,27.252312283,0.328583325,0.11579362,0.2,0.295454545
1.79866E-4,27.503403749,0.331078164,0.114415124,0.2,0.295454545
1.81793E-4,27.756796805,0.333954041,0.113036629,0.2,0.295454545
1.8339E-4,28.012446453,0.336327505,0.111658133,0.2,0.295454545
1.85146E-4,28.25202637,0.338926941,0.110378102,0.2,0.318181818
1.88128E-4,28.513705344,0.34332004,0.108999606,0.205555556,0.318181818
1.90008E-4,28.759313493,0.346074251,0.107719575,0.211111111,0.318181818
1.914E-4,29.007351678,0.34810487,0.106439543,0.211111111,0.318181818
1.92658E-4,29.257191527,0.34993675,0.105159512,0.211111111,0.318181818
1.94515E-4,29.509405077,0.352628682,0.10387948,0.216666667,0.318181818
1.97994E-4,29.764515489,0.357644788,0.102599449,0.222222222,0.318181818
1.99684E-4,30.003224636,0.360066325,0.101417881,0.222222222,0.318181818
2.01973E-4,30.264361861,0.363332502,0.10013785,0.222222222,0.318181818
2.04274E-4,30.508162391,0.366599541,0.098956282,0.227777778,0.340909091
2.07382E-4,30.755078348,0.370984567,0.097774714,0.233333333,0.340909091
2.09683E-4,31.005241872,0.374212487,0.096593147,0.233333333,0.340909091
2.11856E-4,31.257925161,0.377245042,0.095411579,0.233333333,0.340909091
2.14237E-4,31.513885528,0.380549993,0.094230012,0.238888889,0.340909091
2.16081E-4,31.750507439,0.383098602,0.093146908,0.244444444,0.340909091
2.17864E-4,32.011231466,0.385552611,0.091965341,0.244444444,0.340909091
2.203E-4,32.251974544,0.388890146,0.090882237,0.244444444,0.340909091
